Date : 2026-02-21 14:19:38
Directory : /home/rxbru/myspace/Projects/Concice/Concize
Total : 92 files,  16054 codes, 1179 comments, 1408 blanks, all 18641 lines

Languages
+----------------+------------+------------+------------+------------+------------+
| language       | files      | code       | comment    | blank      | total      |
| /home/rxbru/myspace/Projects/Concice/Concize/backend/routes/v1/chatRoutes.js                       | JavaScript JSX |         18 |         10 |          7 |         35 |
| /home/rxbru/myspace/Projects/Concice/Concize/backend/routes/v1/index.js                            | JavaScript JSX |          6 |          3 |          4 |         13 |
| /home/rxbru/myspace/Projects/Concice/Concize/backend/routes/v1/meetingRoutes.js                    | JavaScript JSX |          6 |          9 |          4 |         19 |
| /home/rxbru/myspace/Projects/Concice/Concize/backend/routes/v1/transcRoutes.js                     | JavaScript JSX |         20 |          5 |          7 |         32 |
| /home/rxbru/myspace/Projects/Concice/Concize/backend/server.js                                     | JavaScript JSX |        108 |         27 |         29 |        164 |
| /home/rxbru/myspace/Projects/Concice/Concize/backend/services/chunkOrchestrator.js                 | JavaScript JSX |        111 |         25 |         21 |        157 |
| /home/rxbru/myspace/Projects/Concice/Concize/backend/services/cleanService.js                      | JavaScript JSX |         70 |         14 |         18 |        102 |
| /home/rxbru/myspace/Projects/Concice/Concize/backend/services/embedding/chatEmbedding.js           | JavaScript JSX |         71 |         22 |         16 |        109 |
| /home/rxbru/myspace/Projects/Concice/Concize/backend/services/embedding/embeddingService.js        | JavaScript JSX |        107 |         50 |         29 |        186 |
| /home/rxbru/myspace/Projects/Concice/Concize/backend/services/embedding/transcriptionEmbedding.js  | JavaScript JSX |        123 |         35 |         30 |        188 |
| /home/rxbru/myspace/Projects/Concice/Concize/backend/services/meetingService.js                    | JavaScript JSX |         36 |         17 |          5 |         58 |
| /home/rxbru/myspace/Projects/Concice/Concize/backend/services/preChunker.js                        | JavaScript JSX |        117 |         52 |         29 |        198 |
| /home/rxbru/myspace/Projects/Concice/Concize/backend/services/retrieval/vectorSearchService.js     | JavaScript JSX |         78 |         23 |         18 |        119 |
| /home/rxbru/myspace/Projects/Concice/Concize/backend/services/summaryService.js                    | JavaScript JSX |         52 |         18 |         16 |         86 |
| /home/rxbru/myspace/Projects/Concice/Concize/backend/services/transcription/groqNormalizer.js      | JavaScript JSX |         52 |         21 |         15 |         88 |
| /home/rxbru/myspace/Projects/Concice/Concize/backend/services/transcription/sarvamBatchProvider.js | JavaScript JSX |        101 |         25 |         23 |        149 |
| /home/rxbru/myspace/Projects/Concice/Concize/backend/services/transcription/sarvamNormalizer.js    | JavaScript JSX |         63 |         14 |         17 |         94 |
| /home/rxbru/myspace/Projects/Concice/Concize/backend/services/transcription/transcriptionResult.js | JavaScript JSX |         44 |         33 |         14 |         91 |
| /home/rxbru/myspace/Projects/Concice/Concize/backend/services/transcriptionService.js              | JavaScript JSX |        106 |         30 |         28 |        164 |
| /home/rxbru/myspace/Projects/Concice/Concize/backend/tests/audioRoutes.test.js                     | JavaScript JSX |         91 |         10 |         23 |        124 |
| /home/rxbru/myspace/Projects/Concice/Concize/backend/tests/baseKeyRotation.test.js                 | JavaScript JSX |         22 |          0 |          6 |         28 |
| /home/rxbru/myspace/Projects/Concice/Concize/backend/tests/clean.test.js                           | JavaScript JSX |         96 |          6 |         19 |        121 |
| /home/rxbru/myspace/Projects/Concice/Concize/backend/tests/cloudAMQP.js                            | JavaScript JSX |         16 |          1 |          5 |         22 |
| /home/rxbru/myspace/Projects/Concice/Concize/backend/tests/groqNormalizer.test.js                  | JavaScript JSX |        106 |          1 |         20 |        127 |
| /home/rxbru/myspace/Projects/Concice/Concize/backend/tests/integration_rotation.test.js            | JavaScript JSX |         20 |          1 |          5 |         26 |
| /home/rxbru/myspace/Projects/Concice/Concize/backend/tests/llmSecurity.test.js                     | JavaScript JSX |        126 |          4 |         23 |        153 |
| /home/rxbru/myspace/Projects/Concice/Concize/backend/tests/meetingCompletion.test.js               | JavaScript JSX |         82 |          5 |         30 |        117 |
| /home/rxbru/myspace/Projects/Concice/Concize/backend/tests/meetingRoutes.test.js                   | JavaScript JSX |         80 |          6 |         29 |        115 |
| /home/rxbru/myspace/Projects/Concice/Concize/backend/tests/preChunker.test.js                      | JavaScript JSX |        121 |         10 |         22 |        153 |
| /home/rxbru/myspace/Projects/Concice/Concize/backend/tests/qdrant_connectivity.js                  | JavaScript JSX |         32 |          2 |          7 |         41 |
| /home/rxbru/myspace/Projects/Concice/Concize/backend/tests/sarvamNormalizer.test.js                | JavaScript JSX |        112 |          2 |         21 |        135 |
| /home/rxbru/myspace/Projects/Concice/Concize/backend/tests/summary.db.test.js                      | JavaScript JSX |        142 |          5 |         31 |        178 |
| /home/rxbru/myspace/Projects/Concice/Concize/backend/tests/summaryService.test.js                  | JavaScript JSX |        108 |          6 |         24 |        138 |
| /home/rxbru/myspace/Projects/Concice/Concize/backend/tests/testAuth.js                             | JavaScript JSX |         81 |          3 |         14 |         98 |
| /home/rxbru/myspace/Projects/Concice/Concize/backend/tests/testConsumer.js                         | JavaScript JSX |         32 |          6 |         11 |         49 |
| /home/rxbru/myspace/Projects/Concice/Concize/backend/tests/transcription.db.test.js                | JavaScript JSX |        123 |          4 |         42 |        169 |
